config,injection_rate,rep,density,speed
C4,1,0,0.2041975308641975,1.3676983803337395
C4,1,1,0.2204629629629629,1.3638754755752032
C4,1,2,0.19450617283950616,1.4236322345497223
C4,2,0,0.4252777777777777,1.284384545069552
C4,2,1,0.4405864197530864,1.2953057060768445
C4,2,2,0.4070061728395061,1.3756728398762121
C4,3,0,0.6173456790123456,1.3137952556080332
C4,3,1,0.6342901234567901,1.3579478726669576
C4,3,2,0.6124074074074074,1.3631545222806005
C4,5,0,1.0128086419753086,1.3221734790142714
C4,5,1,1.0475,1.3364444946688094
C4,5,2,1.008395061728395,1.330781365428252
C4,7,0,1.4227777777777777,1.3515015824849437
C4,7,1,1.3937037037037037,1.3796295296532541
C4,7,2,1.3406172839506174,1.395165882629118
