config,n_agents,rep,density,speed
C1,9,0,0.2777777777777778,1.3661243934515446
C1,9,1,0.2777777777777778,1.287576600135092
C1,9,2,0.2777777777777778,1.3180115586430303
C1,9,3,0.2777777777777778,1.3224963660378777
C1,9,4,0.2777777777777778,1.3481931034156496
C1,9,5,0.2777777777777778,1.480677998716165
C1,9,6,0.2777777777777778,1.3238725848277788
C1,9,7,0.2777777777777778,1.5470448853635819
C1,9,8,0.2777777777777778,1.1315838841971635
C1,9,9,0.2777777777777778,1.3060878420911632
C1,9,10,0.2777777777777778,1.3516648009316796
C1,9,11,0.2777777777777778,1.3780892381149596
C1,9,12,0.2777777777777778,1.4033853410772352
C1,9,13,0.2777777777777778,1.2788819912758602
C1,9,14,0.2777777777777778,1.4796270853367754
C1,9,15,0.2777777777777778,1.3210398874391902
C1,9,16,0.2777777777777778,1.3461230585555664
C1,9,17,0.2777777777777778,1.3392337587315735
C1,9,18,0.2777777777777778,1.3371696321061441
C1,9,19,0.2777777777777778,1.3131852192207785
C1,9,20,0.2777777777777778,1.395223758939457
C1,9,21,0.2777777777777778,1.4225727750068713
C1,9,22,0.2777777777777778,1.3417239265582808
C1,9,23,0.2777777777777778,1.3077790885230278
C1,9,24,0.2777777777777778,1.4089063924680036
C1,9,25,0.2777777777777778,1.3430279126596698
C1,9,26,0.2777777777777778,1.4064692335497249
C1,9,27,0.2777777777777778,1.4300628206153005
C1,9,28,0.2777777777777778,1.4883156443058019
C1,9,29,0.2777777777777778,1.4245798409161003
C1,16,0,0.4938271604938272,1.369331042806259
C1,16,1,0.4938271604938272,1.2875852053411958
C1,16,2,0.4938271604938272,1.4359086060398434
C1,16,3,0.4938271604938272,1.2880852437538592
C1,16,4,0.4938271604938272,1.4308909104198766
C1,16,5,0.4938271604938272,1.3337968422931852
C1,16,6,0.4938271604938272,1.4864407591262125
C1,16,7,0.4938271604938272,1.4737903472934772
C1,16,8,0.4938271604938272,1.4149517854095566
C1,16,9,0.4938271604938272,1.3119293143359947
C1,16,10,0.4938271604938272,1.3522346646175907
C1,16,11,0.4938271604938272,1.28921140433343
C1,16,12,0.4938271604938272,1.2647481604999804
C1,16,13,0.4938271604938272,1.488548047997684
C1,16,14,0.4938271604938272,1.4352980725270534
C1,16,15,0.4938271604938272,1.340220695653787
C1,16,16,0.4938271604938272,1.2768286051225546
C1,16,17,0.4938271604938272,1.253456291700767
C1,16,18,0.4938271604938272,1.3797213721437265
C1,16,19,0.4938271604938272,1.3444973288133728
C1,16,20,0.4938271604938272,1.4193693604777209
C1,16,21,0.4938271604938272,1.297731379855013
C1,16,22,0.4938271604938272,1.4622146048646063
C1,16,23,0.4938271604938272,1.4542993012308734
C1,16,24,0.4938271604938272,1.2911434185534254
C1,16,25,0.4938271604938272,1.185870253694242
C1,16,26,0.4938271604938272,1.3779727566553375
C1,16,27,0.4938271604938272,1.3598743673848457
C1,16,28,0.4938271604938272,1.3565118786904486
C1,16,29,0.4938271604938272,1.3635846217293588
