config,sigma,seed,completion,evacuation_time,mean_speed,max_density,collision_count,agents_exited,wall_time_s
C1,0.0,42,0,-1.0,0.047027218472241894,2.4050080289441964,335,97,143.86139858400566
C1,0.0,43,0,-1.0,0.043630695216025486,2.369640263812664,283,97,145.09474875000888
C1,0.0,44,0,-1.0,0.044540247279155926,2.4050080289441964,361,96,126.58697437497904
C1,0.0,45,0,-1.0,0.04240836205641605,2.369640263812664,295,95,149.1417795830057
C1,0.0,46,0,-1.0,0.042614062830424876,2.4050080289441964,323,96,146.2054219589918
C1,0.0,47,0,-1.0,0.043986959040773994,2.334272498681132,279,97,134.48809587498545
C1,0.0,48,0,-1.0,0.03812667827981822,2.4050080289441964,298,92,144.3145293330017
C1,0.0,49,0,-1.0,0.04570470768694377,2.4403757940757287,329,98,111.37817433298915
C1,0.0,50,0,-1.0,0.04471704862047426,2.369640263812664,362,96,106.01941895901109
C1,0.0,51,0,-1.0,0.0423889694915169,2.369640263812664,314,94,114.46356350000133
C1,0.0,52,0,-1.0,0.04514406259421108,2.334272498681132,287,98,78.13941645799787
C1,0.0,53,0,-1.0,0.04790170430551288,2.4050080289441964,279,98,89.14166854100768
C1,0.0,54,0,-1.0,0.04814094370475747,2.369640263812664,244,98,84.86596937500872
C1,0.0,55,0,-1.0,0.04833951680568265,2.475743559207261,309,99,130.6816611670074
C1,0.0,56,0,-1.0,0.04604468954526495,2.369640263812664,375,97,119.21122629198362
C1,0.0,57,0,-1.0,0.047659153470594545,2.2989047335495996,383,97,141.19269037499907
C1,0.0,58,0,-1.0,0.04633661765078567,2.475743559207261,381,98,140.3378870000015
C1,0.0,59,0,-1.0,0.04677051853697674,2.369640263812664,253,98,182.01407450000988
C1,0.0,60,0,-1.0,0.04626701883333692,2.4403757940757287,257,98,64.0029887080018
C1,0.0,61,0,-1.0,0.043649493230156544,2.4403757940757287,347,97,69.20797441600007
C1,0.0,62,0,-1.0,0.044969803599131546,2.369640263812664,352,98,68.0072598750121
C1,0.0,63,0,-1.0,0.04553130737180014,2.369640263812664,311,98,99.59033595799701
C1,0.0,64,0,-1.0,0.04621387760442933,2.4050080289441964,494,97,78.76225012500072
C1,0.0,65,0,-1.0,0.046999564782540235,2.4050080289441964,248,97,82.00984262500424
C1,0.0,66,0,-1.0,0.04420469213737233,2.334272498681132,364,97,69.16306445898954
C1,0.02,42,0,-1.0,0.1524847098305621,2.369640263812664,330,97,80.3580387920083
C1,0.02,43,0,-1.0,0.1551458453936723,2.334272498681132,267,98,74.67579320899677
C1,0.02,44,0,-1.0,0.14939494472839032,2.4050080289441964,354,97,72.76653691599495
C1,0.02,45,0,-1.0,0.1560455873184467,2.334272498681132,315,96,69.19091833298444
C1,0.02,46,0,-1.0,0.1594764719788112,2.4403757940757287,336,97,70.82979683400481
C1,0.02,47,0,-1.0,0.16053309545544264,2.369640263812664,283,98,72.70704908398329
C1,0.02,48,0,-1.0,0.15698319266686023,2.4050080289441964,303,97,69.22975795800448
C1,0.02,49,0,-1.0,0.14819636844835263,2.4050080289441964,313,99,69.76655570798903
C1,0.02,50,0,-1.0,0.15047487697083703,2.4050080289441964,377,97,72.24962579100975
C1,0.02,51,0,-1.0,0.15787779378990163,2.4050080289441964,325,99,74.52019262500107
C1,0.02,52,0,-1.0,0.15633969179740867,2.369640263812664,288,95,81.85214512498351
C1,0.02,53,0,-1.0,0.162559158219653,2.4050080289441964,287,99,75.34244720899733
C1,0.02,54,0,-1.0,0.15600059090350338,2.369640263812664,239,91,79.90698241698556
C1,0.02,55,0,-1.0,0.1614707482069024,2.4403757940757287,301,99,66.54010104201734
C1,0.02,56,0,-1.0,0.15075421153314364,2.2989047335495996,390,97,67.77770545799285
C1,0.02,57,0,-1.0,0.15595120217987263,2.2989047335495996,386,97,67.91007720900234
C1,0.02,58,1,147.94000000001043,0.25287703292282676,2.369640263812664,388,100,46.9293245000008
C1,0.02,59,0,-1.0,0.15692924281504603,2.4050080289441964,261,98,67.73587233299622
C1,0.02,60,0,-1.0,0.16113907901115493,2.4403757940757287,262,99,73.73885137497564
C1,0.02,61,0,-1.0,0.16210593534747447,2.369640263812664,357,99,70.54672979202587
C1,0.02,62,0,-1.0,0.15449642480248232,2.334272498681132,360,97,69.60949491598876
C1,0.02,63,0,-1.0,0.15344578605134512,2.4050080289441964,303,98,69.30885375000071
C1,0.02,64,0,-1.0,0.15466265730770082,2.369640263812664,418,98,63.7454062080069
C1,0.02,65,0,-1.0,0.15858162085577013,2.334272498681132,251,97,67.10222020899528
C1,0.02,66,0,-1.0,0.1570733319432904,2.369640263812664,353,98,67.84448225001688
C1,0.05,42,1,182.78999999997873,0.37310344295083475,2.2635369684180673,372,100,55.4404986249865
C1,0.05,43,1,147.89000000001047,0.3961702643105496,2.334272498681132,295,100,45.239978708006674
C1,0.05,44,0,-1.0,0.3286961380419319,2.369640263812664,348,98,63.64083370799199
C1,0.05,45,1,181.56999999997984,0.38013116484737464,2.2635369684180673,309,100,43.61284866699134
C1,0.05,46,0,-1.0,0.33632804854441345,2.369640263812664,359,99,63.307770375016844
C1,0.05,47,1,199.47999999996355,0.38492755038302023,2.2989047335495996,297,100,71.15544054098427
C1,0.05,48,0,-1.0,0.3460308557335749,2.4050080289441964,364,99,70.85657641699072
C1,0.05,49,1,230.1099999999357,0.3690538936534004,2.369640263812664,332,100,46.47329541601357
C1,0.05,50,0,-1.0,0.3355647902963799,2.369640263812664,375,99,68.87115612500929
C1,0.05,51,0,-1.0,0.340240425696076,2.4050080289441964,394,98,63.01264312499552
C1,0.05,52,0,-1.0,0.34188684123116825,2.2989047335495996,275,99,61.27784445800353
C1,0.05,53,0,-1.0,0.3536222198316154,2.369640263812664,295,99,65.87567604100332
C1,0.05,54,0,-1.0,0.3486872710191319,2.334272498681132,271,97,58.604707082995446
C1,0.05,55,1,338.69999999983696,0.36182977005625877,2.4050080289441964,302,100,48.316417916008504
C1,0.05,56,1,254.08999999991389,0.3720571573390456,2.334272498681132,434,100,45.79949570898316
C1,0.05,57,0,-1.0,0.3335100120065983,2.334272498681132,376,99,66.37325687499833
C1,0.05,58,1,130.33000000002644,0.4137926826186657,2.369640263812664,400,100,45.30535208398942
C1,0.05,59,1,224.91999999994042,0.36007246565219386,2.334272498681132,270,100,42.67971125000622
C1,0.05,60,1,202.8399999999605,0.3779156900593038,2.4403757940757287,280,100,41.480411374999676
C1,0.05,61,1,436.3899999997481,0.3602439583111756,2.369640263812664,372,100,61.607030459010275
C1,0.05,62,1,203.87999999995955,0.37745950820117496,2.369640263812664,362,100,53.80286999998498
C1,0.05,63,0,-1.0,0.33600349689664405,2.2989047335495996,308,98,67.34601420801482
C1,0.05,64,0,-1.0,0.3497778082338819,2.2989047335495996,456,99,66.38494183300645
C1,0.05,65,1,176.37999999998456,0.3908523036720926,2.334272498681132,268,100,43.317897583008744
C1,0.05,66,0,-1.0,0.35779533921480555,2.369640263812664,347,99,61.875143499986734
C1,0.1,42,1,217.30999999994734,0.6567727383856983,2.228169203286535,1112,100,64.69985949998954
C1,0.1,43,1,160.31999999999917,0.6604290567948039,2.2635369684180673,1075,100,43.63740516701364
C1,0.1,44,1,138.79000000001875,0.6729658051433828,2.2989047335495996,969,100,35.907775291998405
C1,0.1,45,1,156.92000000000226,0.661176619378495,2.2989047335495996,956,100,38.185581833007745
C1,0.1,46,1,204.33999999995913,0.7191406550779719,2.2635369684180673,953,100,35.51170579099562
C1,0.1,47,1,139.78000000001785,0.6826473266085176,2.2635369684180673,984,100,32.90427312499378
C1,0.1,48,0,-1.0,0.6587077008313019,2.2989047335495996,1072,99,59.09800808300497
C1,0.1,49,1,129.1600000000275,0.6954536227660617,2.2635369684180673,1050,100,41.271573582984274
C1,0.1,50,1,216.569999999948,0.6727206015255957,2.2989047335495996,1228,100,44.68131962500047
C1,0.1,51,1,227.7899999999378,0.6839673566026536,2.2989047335495996,1133,100,50.187182374997064
C1,0.1,52,1,267.6399999999016,0.6637122717949847,2.2635369684180673,990,100,79.71525466701132
C1,0.1,53,1,153.62000000000526,0.6784453411309258,2.228169203286535,1059,100,43.2608145000122
C1,0.1,54,1,546.579999999648,0.6692154766696091,2.2635369684180673,857,100,72.18403687499813
C1,0.1,55,1,196.16999999996656,0.6733096803310415,2.334272498681132,859,100,44.527038625004934
C1,0.1,56,1,187.5599999999744,0.6566435243656343,2.2635369684180673,1281,100,53.34269145899452
C1,0.1,57,1,151.86000000000686,0.6822831539479217,2.1928014381550023,1138,100,76.18168058298761
